generic_name,display_name,reaction_term,count
fluoxetine,Fluoxetine (Prozac),LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,467
fluoxetine,Fluoxetine (Prozac),BLOOD POTASSIUM DECREASED,466
fluoxetine,Fluoxetine (Prozac),DIPLOPIA,466
fluoxetine,Fluoxetine (Prozac),SKIN EXFOLIATION,462
fluoxetine,Fluoxetine (Prozac),PRODUCTIVE COUGH,460
fluoxetine,Fluoxetine (Prozac),UNRESPONSIVE TO STIMULI,460
fluoxetine,Fluoxetine (Prozac),PULMONARY OEDEMA,458
fluoxetine,Fluoxetine (Prozac),CHOLELITHIASIS,456
fluoxetine,Fluoxetine (Prozac),SURGERY,456
fluoxetine,Fluoxetine (Prozac),ALTERED STATE OF CONSCIOUSNESS,454
fluoxetine,Fluoxetine (Prozac),EXTRAPYRAMIDAL DISORDER,454
fluoxetine,Fluoxetine (Prozac),BLINDNESS,453
fluoxetine,Fluoxetine (Prozac),POISONING,453
fluoxetine,Fluoxetine (Prozac),HYPERGLYCAEMIA,452
fluoxetine,Fluoxetine (Prozac),APATHY,451
fluoxetine,Fluoxetine (Prozac),GENERALISED TONIC-CLONIC SEIZURE,450
fluoxetine,Fluoxetine (Prozac),OXYGEN SATURATION DECREASED,450
fluoxetine,Fluoxetine (Prozac),NO ADVERSE EVENT,449
fluoxetine,Fluoxetine (Prozac),DELIRIUM,447
fluoxetine,Fluoxetine (Prozac),ARRHYTHMIA,445
fluoxetine,Fluoxetine (Prozac),OSTEOPOROSIS,443
fluoxetine,Fluoxetine (Prozac),RESPIRATORY DEPRESSION,441
fluoxetine,Fluoxetine (Prozac),POOR QUALITY SLEEP,440
fluoxetine,Fluoxetine (Prozac),SEXUAL DYSFUNCTION,440
fluoxetine,Fluoxetine (Prozac),THINKING ABNORMAL,439
fluoxetine,Fluoxetine (Prozac),PLATELET COUNT DECREASED,438
fluoxetine,Fluoxetine (Prozac),PRESYNCOPE,438
fluoxetine,Fluoxetine (Prozac),DRUG EFFECT DECREASED,437
fluoxetine,Fluoxetine (Prozac),PLEURAL EFFUSION,437
fluoxetine,Fluoxetine (Prozac),RENAL FAILURE ACUTE,436
fluoxetine,Fluoxetine (Prozac),HEPATIC ENZYME INCREASED,435
fluoxetine,Fluoxetine (Prozac),HYPOXIA,435
fluoxetine,Fluoxetine (Prozac),ASPARTATE AMINOTRANSFERASE INCREASED,432
